Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 0.83, null, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 4.00, null, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 34.79, null, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 4.00, null, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 40.00, null, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 0.40, null, 
Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 0.83, null, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 4.00, null, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 34.79, null, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 4.00, null, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 40.00, null, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 0.40, null, 
Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 0.83, null, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 4.00, null, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 34.79, null, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 4.00, null, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 40.00, null, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 0.40, null, 
Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 0.83, null, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 4.00, null, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 34.79, null, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 4.00, null, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 40.00, null, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 0.40, null, 
Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 0.83, null, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 4.00, null, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 34.79, null, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 4.00, null, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 40.00, null, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 0.40, null, 
Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 0.83, null, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 4.00, null, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 34.79, null, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 4.00, null, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 40.00, null, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 0.40, null, 
Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 0.83, null, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 4.00, null, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 34.79, null, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 4.00, null, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 0.40, null, 
