inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 
inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 
inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 
inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 
inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 
inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 
inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
Jadwiga, Urbaniak, Kraków, Ró¿ana 10, 543-605-330, 2500.70, 10000.40, 
Urszula, Zaw³odzki, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Urszula, Magister, Gdañsk, Rysia 22, 600-501-505, 25000.70, 10000.40, 
Patrycja, Dudziak, Sanok, podskarbiñska 45, 122-100-700, 25000.70, 1000000.00, 
Aleksandra, Szymczyk, Warszawa, Czeladników 12, 200-054-012, 25000.70, 10000.40, 
inValid: Jan, Kowalski, Warszawa, Czeczejki 2, 765-654-030, 1200.50, 1000.40, 
S³awomir, Kêpa, Warszawa, Czeczejki 2, 112-322-211, 25000.70, 100000.40, 
Bartosz, Wysocki, Kraków, Morelowa 23, 543-605-330, 2500.70, 87000.40, 
